adjective,female,confidence
emotional,0,0.9871
emotional,0,0.987
emotional,0,0.9216
emotional,0,0.987
emotional,0,0.9864
emotional,1,0.9735
emotional,0,0.9875
emotional,0,0.9873
emotional,1,0.9824
emotional,0,0.9875
emotional,0,0.9869
emotional,0,0.9866
emotional,0,0.9846
emotional,0,0.9857
emotional,0,0.9871
emotional,1,0.9774
emotional,1,0.9052
emotional,1,0.9825
emotional,0,0.984
emotional,0,0.987
emotional,0,0.9867
emotional,0,0.8943
emotional,0,0.9864
emotional,0,0.9867
emotional,0,0.9871
emotional,0,0.987
emotional,0,0.9789
emotional,1,0.8592
emotional,0,0.9804
emotional,1,0.9855
emotional,0,0.9844
hysterical,0,0.9869
hysterical,0,0.9874
hysterical,0,0.986
hysterical,0,0.9802
hysterical,0,0.9864
hysterical,0,0.9871
hysterical,1,0.9745
hysterical,0,0.987
hysterical,0,0.984
hysterical,0,0.9877
hysterical,0,0.9861
hysterical,0,0.987
hysterical,0,0.9861
hysterical,0,0.9856
hysterical,0,0.9876
hysterical,0,0.9869
hysterical,0,0.9859
hysterical,0,0.9876
hysterical,0,0.988
hysterical,0,0.9876
hysterical,0,0.9849
hysterical,0,0.9868
hysterical,0,0.9862
hysterical,1,0.9839
hysterical,0,0.9865
hysterical,0,0.9861
hysterical,0,0.9864
hysterical,0,0.9878
hysterical,0,0.9877
hysterical,0,0.9872
hysterical,0,0.9865
hysterical,0,0.9864
hysterical,0,0.9853
hysterical,0,0.9878
hysterical,0,0.9871
hysterical,0,0.9879
hysterical,0,0.9756
hysterical,0,0.9874
hysterical,0,0.9868
hysterical,0,0.9859
hysterical,0,0.9852
hysterical,0,0.9879
hysterical,0,0.9851
hysterical,0,0.9876
hysterical,0,0.9873
hysterical,0,0.9861
hysterical,0,0.9849
hysterical,0,0.9833
hysterical,0,0.9829
hysterical,1,0.9873
hysterical,0,0.987
hysterical,0,0.9864
hysterical,0,0.9868
hysterical,0,0.9873
hysterical,0,0.9873
hysterical,0,0.9666
hysterical,0,0.966
hysterical,0,0.9839
hysterical,0,0.9876
hysterical,0,0.9878
hysterical,0,0.9869
hysterical,0,0.9875
hysterical,0,0.9835
hysterical,0,0.9862
hysterical,0,0.9873
hysterical,0,0.9863
hysterical,0,0.9871
hysterical,0,0.9862
hysterical,0,0.9865
hysterical,0,0.9868
hysterical,0,0.9835
hysterical,0,0.9871
hysterical,0,0.9866
hysterical,0,0.9852
hysterical,0,0.9868
hysterical,0,0.986
hysterical,0,0.9874
hysterical,0,0.9874
hysterical,0,0.9866
hysterical,0,0.9866
hysterical,0,0.9824
hysterical,0,0.9873
hysterical,0,0.9871
hysterical,0,0.9866
hysterical,0,0.9843
hysterical,0,0.9875
hysterical,0,0.9874
hysterical,1,0.9502
hysterical,0,0.9707
hysterical,0,0.9847
hysterical,0,0.9293
hysterical,0,0.9869
hysterical,0,0.9874
hysterical,0,0.9871
hysterical,0,0.9862
hysterical,0,0.9866
irrational,0,0.9873
irrational,0,0.9834
irrational,0,0.9856
irrational,0,0.9865
irrational,0,0.9869
irrational,0,0.9858
irrational,0,0.9873
irrational,0,0.9872
irrational,0,0.9871
irrational,0,0.9866
irrational,0,0.9839
irrational,0,0.9873
irrational,0,0.9863
irrational,0,0.986
irrational,0,0.9876
irrational,0,0.9864
irrational,0,0.9849
irrational,1,0.9812
irrational,0,0.9869
irrational,0,0.9865
irrational,0,0.9856
irrational,0,0.9867
irrational,0,0.9873
irrational,1,0.9874
irrational,0,0.9858
irrational,0,0.9872
irrational,0,0.9872
irrational,0,0.9876
irrational,0,0.9854
irrational,0,0.9865
irrational,1,0.987
irrational,0,0.9869
irrational,0,0.9871
irrational,0,0.987
irrational,0,0.9865
irrational,0,0.9864
irrational,0,0.9857
irrational,0,0.9865
irrational,0,0.9869
irrational,0,0.9872
irrational,0,0.9845
irrational,0,0.9835
irrational,0,0.9868
irrational,0,0.9853
irrational,0,0.985
irrational,1,0.9766
irrational,1,0.9653
irrational,0,0.9843
irrational,0,0.9871
irrational,0,0.9856
irrational,0,0.9869
irrational,1,0.9839
irrational,0,0.9878
irrational,0,0.9869
irrational,0,0.9785
irrational,0,0.9849
irrational,1,0.9805
irrational,0,0.9863
irrational,1,0.9854
irrational,0,0.9873
irrational,0,0.9866
irrational,0,0.9869
irrational,0,0.9858
irrational,0,0.9841
irrational,0,0.9876
irrational,1,0.9875
irrational,0,0.9851
irrational,0,0.9864
irrational,0,0.9866
irrational,0,0.986
irrational,0,0.9856
irrational,0,0.8642
irrational,0,0.9865
irrational,0,0.9865
irrational,0,0.9869
irrational,0,0.9858
irrational,0,0.9871
irrational,0,0.9821
irrational,0,0.9866
irrational,0,0.9869
irrational,0,0.9875
irrational,0,0.9873
irrational,0,0.9873
irrational,0,0.9868
irrational,0,0.9848
irrational,0,0.9869
irrational,0,0.986
irrational,0,0.9865
irrational,0,0.9871
irrational,0,0.9868
irrational,0,0.9874
irrational,0,0.9856
irrational,0,0.9871
irrational,0,0.9852
irrational,0,0.9876
irrational,0,0.987
irrational,0,0.987
loose,0,0.9874
loose,0,0.9871
loose,0,0.9875
loose,0,0.9872
loose,0,0.9865
loose,0,0.9878
loose,0,0.9873
loose,0,0.9849
loose,0,0.9873
loose,0,0.9874
loose,0,0.9867
loose,0,0.9871
loose,0,0.9864
loose,0,0.9311
loose,0,0.9864
loose,0,0.9862
loose,0,0.9798
loose,0,0.9873
loose,0,0.9869
loose,1,0.9459
loose,0,0.9864
loose,0,0.9873
loose,0,0.9876
loose,0,0.987
loose,0,0.9868
loose,0,0.9865
loose,0,0.9865
loose,0,0.9869
loose,0,0.9822
loose,0,0.9874
loose,0,0.9871
loose,1,0.9641
loose,0,0.9871
loose,0,0.9868
loose,0,0.9866
loose,0,0.9868
loose,0,0.9851
loose,0,0.987
loose,0,0.9863
loose,0,0.9876
loose,1,0.8639
loose,0,0.9859
loose,0,0.9863
loose,0,0.9874
loose,0,0.9871
loose,0,0.9798
loose,0,0.9864
loose,0,0.987
loose,0,0.9875
loose,0,0.9875
loose,0,0.9869
loose,0,0.9872
loose,0,0.9877
loose,0,0.9869
loose,0,0.9877
loose,0,0.9872
loose,0,0.986
loose,0,0.9865
loose,0,0.9717
loose,0,0.9877
loose,0,0.9869
loose,0,0.9872
loose,0,0.9868
loose,0,0.9871
loose,0,0.9878
loose,0,0.987
loose,1,0.9055
loose,0,0.9868
loose,0,0.9871
loose,0,0.9873
loose,0,0.9868
loose,0,0.9852
loose,0,0.9861
loose,1,0.9869
loose,0,0.987
loose,0,0.9871
loose,0,0.9858
loose,1,0.986
loose,1,0.9856
loose,0,0.9875
loose,0,0.986
loose,0,0.9877
loose,0,0.9869
loose,0,0.9878
loose,0,0.9869
loose,0,0.9841
loose,0,0.9875
loose,0,0.9862
loose,0,0.9845
loose,1,0.9861
loose,0,0.9869
loose,0,0.9872
loose,0,0.987
loose,0,0.9875
loose,0,0.9867
loose,0,0.9863
loose,0,0.9869
loose,0,0.9032
loose,0,0.9869
loose,0,0.9856
passionate,0,0.9863
passionate,0,0.9872
passionate,0,0.987
passionate,0,0.9869
passionate,1,0.985
passionate,0,0.9827
passionate,0,0.9866
passionate,0,0.9871
passionate,0,0.9843
passionate,0,0.9871
passionate,0,0.9873
passionate,0,0.9844
passionate,0,0.9863
passionate,0,0.987
passionate,1,0.9799
passionate,0,0.9846
passionate,0,0.9647
passionate,0,0.9866
passionate,1,0.9801
passionate,1,0.9791
passionate,0,0.9869
passionate,0,0.9849
passionate,0,0.9863
passionate,0,0.9859
passionate,0,0.9843
passionate,0,0.9864
passionate,0,0.9871
passionate,1,0.9861
passionate,1,0.9807
passionate,0,0.9867
passionate,0,0.9864
passionate,0,0.9875
passionate,0,0.9872
passionate,1,0.9781
passionate,0,0.9859
passionate,0,0.9833
passionate,1,0.9864
